Age,Gender,Family_History,Company_Size,Tech_Company,Wellness_Program,Anonymity_Protected,Leave_Difficulty,Work_Interfere,Benefits,Care_Options,Comments,Target_Sought_Treatment,Survey_Year
37.0,Female,No,6-25,Yes,No,Yes,Somewhat easy,Often,Yes,Not sure,no comment,1,2014
44.0,Male,No,More than 1000,No,Don't know,Don't know,Don't know,Rarely,Don't know,No,no comment,0,2014
32.0,Male,No,6-25,Yes,No,Don't know,Somewhat difficult,Rarely,No,No,no comment,0,2014
31.0,Male,Yes,26-100,Yes,No,No,Somewhat difficult,Often,No,Yes,no comment,1,2014
31.0,Male,No,100-500,Yes,Don't know,Don't know,Don't know,Never,Yes,No,no comment,0,2014
33.0,Male,Yes,6-25,Yes,No,Don't know,Don't know,Sometimes,Yes,Not sure,no comment,0,2014
35.0,Female,Yes,1-5,Yes,No,No,Somewhat difficult,Sometimes,No,No,no comment,1,2014
39.0,Male,No,1-5,Yes,No,Yes,Don't know,Never,No,Yes,no comment,0,2014
42.0,Female,Yes,100-500,Yes,No,No,Very difficult,Sometimes,Yes,Yes,no comment,1,2014
23.0,Male,No,26-100,Yes,Don't know,Don't know,Don't know,Never,Don't know,No,no comment,0,2014
31.0,Male,No,6-25,Yes,No,Don't know,Don't know,Sometimes,Don't know,No,no comment,1,2014
29.0,Male,No,100-500,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,no comment,0,2014
42.0,Female,Yes,26-100,No,No,Don't know,Somewhat difficult,Sometimes,Yes,Yes,no comment,1,2014
36.0,Male,Yes,500-1000,Yes,No,Don't know,Don't know,Never,Don't know,Not sure,I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions.,0,2014
27.0,Male,No,6-25,Yes,Don't know,Don't know,Somewhat easy,Never,Don't know,Not sure,no comment,0,2014
